Ticker,sector,sectorKey,industry,beta,marketCap
MSFT,Technology,technology,Software - Infrastructure,0.89,3094183936000.0
AAPL,Technology,technology,Consumer Electronics,1.289,2665580593152.0
NVDA,Technology,technology,Semiconductors,1.725,2195912523776.0
AMZN,Consumer Cyclical,consumer-cyclical,Internet Retail,1.171,1811770245120.0
META,Communication Services,communication-services,Internet Content & Information,1.208,1234169364480.0
GOOGL,Communication Services,communication-services,Internet Content & Information,1.044,1760556875776.0
GOOG,Communication Services,communication-services,Internet Content & Information,1.044,1761315782656.0
BRK.B,,,,,
LLY,Healthcare,healthcare,Drug Manufacturers - General,0.344,716585172992.0
AVGO,Technology,technology,Semiconductors,1.273,572556640256.0
TSLA,Consumer Cyclical,consumer-cyclical,Auto Manufacturers,2.415,520936128512.0
JPM,Financial Services,financial-services,Banks - Diversified,1.127,548134420480.0
UNH,Healthcare,healthcare,Healthcare Plans,0.546,452503666688.0
V,Financial Services,financial-services,Credit Services,0.962,581384011776.0
XOM,Energy,energy,Oil & Gas Integrated,0.947,441501548544.0
MA,Financial Services,financial-services,Credit Services,1.078,443898003456.0
JNJ,Healthcare,healthcare,Drug Manufacturers - General,0.531,381178970112.0
PG,Consumer Defensive,consumer-defensive,Household & Personal Products,0.43,379730362368.0
HD,Consumer Cyclical,consumer-cyclical,Home Improvement Retail,0.99,369876926464.0
MRK,Healthcare,healthcare,Drug Manufacturers - General,0.384,307766394880.0
COST,Consumer Defensive,consumer-defensive,Discount Stores,0.765,321819803648.0
ABBV,Healthcare,healthcare,Drug Manufacturers - General,0.555,314219692032.0
CRM,Technology,technology,Software - Application,1.283,285500080128.0
ADBE,Technology,technology,Software - Infrastructure,1.294,222860787712.0
AMD,Technology,technology,Semiconductors,1.651,308712833024.0
CVX,Energy,energy,Oil & Gas Integrated,1.118,288898351104.0
NFLX,Communication Services,communication-services,Entertainment,1.219,262200623104.0
WMT,Consumer Defensive,consumer-defensive,Discount Stores,0.497,488643297280.0
PEP,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.534,226313633792.0
KO,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.591,258230091776.0
ACN,Technology,technology,Information Technology Services,1.195,234871209984.0
BAC,Financial Services,financial-services,Banks - Diversified,1.388,279407558656.0
TMO,Healthcare,healthcare,Diagnostics & Research,0.8,222743412736.0
MCD,Consumer Cyclical,consumer-cyclical,Restaurants,0.718,201553330176.0
CSCO,Technology,technology,Communication Equipment,0.853,198126862336.0
DIS,Communication Services,communication-services,Entertainment,1.412,205349879808.0
LIN,Basic Materials,basic-materials,Specialty Chemicals,0.94,225488338944.0
ABT,Healthcare,healthcare,Medical Devices,0.743,200395931648.0
ORCL,Technology,technology,Software - Infrastructure,0.994,345047957504.0
INTU,Technology,technology,Software - Application,1.215,175132475392.0
INTC,Technology,technology,Semiconductors,0.996,180281917440.0
WFC,Financial Services,financial-services,Banks - Diversified,1.196,205738573824.0
IBM,Technology,technology,Information Technology Services,0.708,175162474496.0
VZ,Communication Services,communication-services,Telecom Services,0.384,166026625024.0
CMCSA,Communication Services,communication-services,Telecom Services,0.98,169876455424.0
QCOM,Technology,technology,Semiconductors,1.413,186595196928.0
CAT,Industrials,industrials,Farm & Heavy Construction Machinery,1.152,173268828160.0
NOW,Technology,technology,Software - Application,0.972,152501551104.0
DHR,Healthcare,healthcare,Diagnostics & Research,0.86,184481677312.0
AMGN,Healthcare,healthcare,Drug Manufacturers - General,0.578,144092545024.0
PFE,Healthcare,healthcare,Drug Manufacturers - General,0.557,158211358720.0
UNP,Industrials,industrials,Railroads,1.076,148865105920.0
GE,Industrials,industrials,Specialty Industrial Machinery,1.217,184642371584.0
UBER,Technology,technology,Software - Application,1.368,157959356416.0
TXN,Technology,technology,Semiconductors,1.029,157002858496.0
AMAT,Technology,technology,Semiconductor Equipment & Materials,1.593,165057691648.0
SPGI,Financial Services,financial-services,Financial Data & Stock Exchanges,1.152,132804616192.0
PM,Consumer Defensive,consumer-defensive,Tobacco,0.632,146350407680.0
ISRG,Healthcare,healthcare,Medical Instruments & Supplies,1.359,140461047808.0
COP,Energy,energy,Oil & Gas E&P,1.244,141216251904.0
BKNG,Consumer Cyclical,consumer-cyclical,Travel Services,1.403,116659109888.0
RTX,Industrials,industrials,Aerospace & Defense,0.611,123563442176.0
HON,Industrials,industrials,Conglomerates,1.023,128929865728.0
LOW,Consumer Cyclical,consumer-cyclical,Home Improvement Retail,1.12,140475023360.0
NKE,Consumer Cyclical,consumer-cyclical,Footwear & Accessories,1.101,150966550528.0
GS,Financial Services,financial-services,Capital Markets,1.416,126061248512.0
PLD,Real Estate,real-estate,REIT - Industrial,1.014,119328153600.0
AXP,Financial Services,financial-services,Credit Services,1.23,158136647680.0
T,Communication Services,communication-services,Telecom Services,0.694,121955065856.0
BA,Industrials,industrials,Aerospace & Defense,1.522,111367938048.0
ELV,Healthcare,healthcare,Healthcare Plans,0.783,119377813504.0
NEE,Utilities,utilities,Utilities - Regulated Electric,0.497,123309998080.0
MDT,Healthcare,healthcare,Medical Devices,0.771,110965915648.0
SYK,Healthcare,healthcare,Medical Devices,0.899,133940396032.0
PANW,Technology,technology,Software - Infrastructure,1.208,91165900800.0
LRCX,Technology,technology,Semiconductor Equipment & Materials,1.517,119315529728.0
